area_sqft,bedrooms,bathrooms,maintenance_staff,security_24x7,parking,house_age_years,location,price_in_lakhs
1460,3,3,3,1,1,7,Jubilee Hills,212.75
1894,3,3,2,1,2,2,Gachibowli,198.41
1730,3,4,1,0,0,8,Begumpet,163.57
1695,4,4,1,0,1,1,Manikonda,100.38
2238,4,3,1,0,2,1,Jubilee Hills,318.48
2769,5,5,2,0,2,12,Kondapur,247.36
1066,2,2,2,1,0,14,Banjara Hills,144.16
1838,3,2,0,1,2,22,Hitech City,163.16
930,1,1,2,1,2,11,Narsingi,56.17
2082,3,3,2,1,1,3,Kondapur,204.63
2735,5,4,1,1,1,7,Hitech City,322.04
730,1,1,1,1,3,8,Begumpet,68.81
2285,5,5,1,1,2,22,Nanakramguda,185.57
1369,2,1,0,1,2,4,Banjara Hills,186.05
2991,5,4,0,1,2,23,Miyapur,125.42
2115,3,2,0,0,1,19,Miyapur,125.52
3453,5,5,0,1,1,17,Banjara Hills,387.25
3033,5,4,1,1,1,10,Jubilee Hills,411.37
1815,4,3,1,0,2,14,Manikonda,123.63
1555,3,2,0,0,2,21,Manikonda,76.91
2924,5,4,2,1,2,8,Jubilee Hills,438.37
1784,3,3,1,1,1,16,Secunderabad,88.74
1059,2,3,3,1,1,11,LB Nagar,58.1
621,1,1,3,1,1,6,Miyapur,45.04
2900,5,4,0,0,2,9,Madhapur,282.76
1347,3,3,1,1,1,24,Jubilee Hills,194.53
1074,3,3,0,1,0,24,Narsingi,90.74
1682,2,2,1,1,2,9,Miyapur,85.7
3158,5,5,2,1,0,12,Madhapur,354.06
2647,5,4,0,0,3,18,Begumpet,181.21
3347,5,5,1,0,0,10,Kondapur,317.14
1575,3,4,0,0,2,12,Madhapur,150.34
2406,5,5,0,1,1,20,Kondapur,235.57
789,2,2,2,1,3,7,LB Nagar,51.32
3334,5,5,1,1,1,7,Hitech City,411.38
1162,2,2,1,1,1,3,Uppal,76.62
2499,5,5,1,1,1,14,Kukatpally,168.29
1867,4,4,3,0,1,10,Hitech City,193.11
3479,5,4,0,0,1,10,Miyapur,199.76
2128,3,4,1,1,3,0,Kondapur,207.12
1246,2,2,2,0,1,16,Miyapur,81.09
2668,5,5,1,1,2,14,LB Nagar,88.28
3488,5,4,3,1,2,19,Jubilee Hills,523.86
2814,5,4,2,1,2,5,Banjara Hills,364.98
1897,4,3,2,1,1,23,Narsingi,124.22
3035,5,5,2,1,1,21,Gachibowli,303.61
1200,2,1,3,1,2,24,Miyapur,75.47
2963,5,5,3,0,3,14,Narsingi,218.01
2661,4,3,2,0,1,8,Jubilee Hills,334.66
841,2,2,2,1,1,13,Madhapur,90.04
2641,5,5,0,1,1,17,Jubilee Hills,380.04
3424,5,5,0,1,3,16,Begumpet,288.15
3212,5,5,1,0,1,17,Hitech City,333.88
1963,4,5,0,1,1,4,Secunderabad,130.88
2739,5,5,1,1,2,19,Madhapur,291.61
1990,4,5,0,1,0,19,Gachibowli,203.94
2078,4,4,1,1,0,8,Kondapur,191.98
3156,5,4,2,1,2,10,Banjara Hills,378.21
1375,2,1,3,1,3,23,Narsingi,81.82
634,2,2,0,1,1,21,Banjara Hills,79.77
2853,5,4,1,1,1,0,Kukatpally,224.13
2555,4,4,2,0,1,17,LB Nagar,112.87
2185,3,4,0,1,1,5,Jubilee Hills,311.97
1621,3,3,2,1,2,1,Miyapur,112.08
3213,5,5,1,1,1,14,Kondapur,302.81
1729,3,2,1,0,1,20,Kukatpally,117.23
2100,4,4,3,1,1,13,Jubilee Hills,273.49
1302,3,2,0,1,2,4,Nanakramguda,118.66
3049,5,5,2,0,2,5,Miyapur,211.06
3377,5,5,2,0,2,5,Madhapur,355.24
2179,5,5,0,1,0,21,Hitech City,260.96
761,1,1,2,1,2,17,Uppal,36.9
801,1,1,3,1,2,13,Narsingi,63.49
2581,5,4,0,0,1,9,Secunderabad,131.26
1595,2,2,2,0,1,13,Begumpet,136.7
2917,5,5,1,1,1,12,Gachibowli,304.14
1415,2,3,2,1,1,2,Gachibowli,151.9
1055,1,1,2,1,1,5,Secunderabad,66.6
1875,3,4,1,1,0,7,Madhapur,196.98
1616,2,2,3,1,1,11,Manikonda,101.08
2943,5,4,3,1,2,12,Gachibowli,253.75
3367,5,5,2,1,1,10,Narsingi,260.95
937,2,2,2,1,2,11,Madhapur,103.47
1478,3,2,2,1,2,0,Kondapur,147.07
1676,3,3,1,1,2,16,Gachibowli,162.35
1391,3,3,2,1,2,15,Banjara Hills,175.01
2864,5,5,1,0,0,10,Madhapur,290.14
1363,2,2,1,1,2,12,Narsingi,95.9
2835,5,5,2,0,0,17,Secunderabad,149.14
979,2,1,1,1,1,10,Uppal,56.38
1092,1,1,0,1,3,11,Banjara Hills,128.45
1780,4,3,0,1,1,5,Miyapur,99.95
2662,4,4,1,0,1,8,Miyapur,142.91
664,1,2,2,1,2,15,Gachibowli,69.37
3168,5,5,1,1,2,3,Banjara Hills,395.74
1967,4,4,2,0,2,2,Hitech City,231.74
1752,3,3,1,1,1,15,Jubilee Hills,221.06
2627,5,5,2,1,2,23,Miyapur,111.08
3295,5,4,1,0,1,24,Hitech City,341.01
2095,4,4,1,1,2,11,Kondapur,189.9
1762,3,3,2,1,3,10,Madhapur,197.44
2122,5,5,2,1,2,4,Jubilee Hills,323.63
3240,5,5,1,1,2,24,Kukatpally,210.44
991,2,2,0,0,0,17,LB Nagar,38.26
2298,4,4,0,1,2,18,Narsingi,180.6
1018,2,2,0,0,2,22,Begumpet,83.52
2936,5,5,2,1,0,22,LB Nagar,100.2
978,2,2,1,1,2,5,LB Nagar,43.97
2396,4,4,1,1,1,21,Madhapur,264.93
2878,5,4,1,1,2,17,Secunderabad,174.75
2688,5,5,0,0,2,5,Jubilee Hills,329.81
2782,5,5,1,0,2,3,Narsingi,185.38
800,1,2,0,0,1,11,Jubilee Hills,116.56
2463,4,4,1,1,2,18,Banjara Hills,297.97
1379,2,3,0,0,2,1,Kondapur,139.9
1102,2,3,2,1,3,16,Nanakramguda,101.02
3054,5,4,0,1,1,10,Begumpet,266.62
2351,4,4,3,1,1,10,Gachibowli,234.71
1404,2,2,1,0,2,20,Jubilee Hills,184.91
2746,5,4,2,1,1,15,Narsingi,219.15
3331,5,5,2,1,2,1,Narsingi,259.47
2495,5,5,2,1,2,1,Banjara Hills,332.67
3373,5,5,2,1,2,22,Hitech City,354.66
2170,4,4,1,0,2,7,Madhapur,220.8
1560,2,2,1,1,1,12,Secunderabad,99.51
3260,5,5,1,1,1,9,Nanakramguda,295.93
2085,4,4,1,1,1,7,Manikonda,132.31
3290,5,5,0,1,1,3,Gachibowli,358.54
1628,3,4,1,1,1,14,Kukatpally,97.79
1102,2,1,2,1,2,0,Manikonda,94.62
3414,5,5,1,1,2,10,LB Nagar,159.15
997,2,1,2,0,1,6,Madhapur,97.51
1470,3,3,2,1,2,16,LB Nagar,93.28
3442,5,4,3,1,3,19,LB Nagar,144.34
992,1,1,1,1,2,23,Gachibowli,95.69
806,2,2,1,0,2,17,Narsingi,65.17
1638,3,2,1,0,2,21,Uppal,92.16
2481,5,5,1,1,1,21,Kukatpally,169.24
2084,4,3,2,1,1,11,Jubilee Hills,281.37
1463,3,3,0,1,1,8,Hitech City,164.76
3390,5,5,2,1,3,4,Nanakramguda,296.95
1163,2,2,1,1,2,9,Jubilee Hills,166.62
